0.00E+00,0.00E+00,0.00E+00,6.12E-17,0.00E+00,0.00E+00,0.00E+00
8.02E-20,0.00E+00,0.00E+00,-1.84E-01,6.12E-17,0.00E+00,0.00E+00
-2.41E-04,8.02E-20,0.00E+00,-3.61E-01,-1.84E-01,6.12E-17,0.00E+00
-1.80E-03,-2.41E-04,8.02E-20,-5.26E-01,-3.61E-01,-1.84E-01,6.12E-17
-6.87E-03,-1.80E-03,-2.41E-04,-6.74E-01,-5.26E-01,-3.61E-01,-1.84E-01
-1.82E-02,-6.87E-03,-1.80E-03,-7.98E-01,-6.74E-01,-5.26E-01,-3.61E-01
-3.86E-02,-1.82E-02,-6.87E-03,-8.95E-01,-7.98E-01,-6.74E-01,-5.26E-01
-7.02E-02,-3.86E-02,-1.82E-02,-9.62E-01,-8.95E-01,-7.98E-01,-6.74E-01
-1.14E-01,-7.02E-02,-3.86E-02,-9.96E-01,-9.62E-01,-8.95E-01,-7.98E-01
-1.71E-01,-1.14E-01,-7.02E-02,-9.96E-01,-9.96E-01,-9.62E-01,-8.95E-01
-2.39E-01,-1.71E-01,-1.14E-01,-9.62E-01,-9.96E-01,-9.96E-01,-9.62E-01
-3.16E-01,-2.39E-01,-1.71E-01,-8.95E-01,-9.62E-01,-9.96E-01,-9.96E-01
-3.99E-01,-3.16E-01,-2.39E-01,-7.98E-01,-8.95E-01,-9.62E-01,-9.96E-01
-4.85E-01,-3.99E-01,-3.16E-01,-6.74E-01,-7.98E-01,-8.95E-01,-9.62E-01
-5.69E-01,-4.85E-01,-3.99E-01,-5.26E-01,-6.74E-01,-7.98E-01,-8.95E-01
-6.47E-01,-5.69E-01,-4.85E-01,-3.61E-01,-5.26E-01,-6.74E-01,-7.98E-01
-7.13E-01,-6.47E-01,-5.69E-01,-1.84E-01,-3.61E-01,-5.26E-01,-6.74E-01
-7.64E-01,-7.13E-01,-6.47E-01,-1.84E-16,-1.84E-01,-3.61E-01,-5.26E-01
-7.96E-01,-7.64E-01,-7.13E-01,1.84E-01,-1.84E-16,-1.84E-01,-3.61E-01
